timestep,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,average
1,-0.04887768882605792,-0.04887768882605792,-0.04887768882605792,-0.04887768882605792,-0.04887768882605792,-0.04887768882605792,-0.04887768882605792,-0.04887768882605792,-0.04887768882605792,-0.04887768882605792,-0.04887768882605792
2,0.04924764625033351,0.049247672670939435,0.04924773421775197,0.049247649565267615,0.049247709166054365,0.049247577023034506,0.04924764625033351,0.04924803102484865,0.049248582498001126,0.049247654432255095,0.04924779030988198
3,-0.027989006205555667,-0.027989329774777416,-0.027990083424368817,-0.027989046804544504,-0.0279897766804581,-0.02798815826067469,-0.027989006205555667,-0.02799371580642418,-0.02800045576441046,-0.027989106411227538,-0.027990768533799705
4,0.027240984647199262,0.027241361697756705,0.027242239936888346,0.02724103195630434,0.027241882479888346,0.027239996576224668,0.027240984647199262,0.027246473242235503,0.027254330164423024,0.027241101414817503,0.027243038676293695
5,-0.045570853411211254,-0.045570976951622266,-0.04557126332577277,-0.04557086893155593,-0.04557114700005349,-0.04557052797992811,-0.045570853411211254,-0.04557261667233625,-0.045575010317960185,-0.045570891708130334,-0.04557150097097819
6,-0.07854509848305047,-0.07854424376310232,-0.07854225514406477,-0.07854499120845193,-0.07854306416848023,-0.07854734103971883,-0.07854509848305047,-0.07853271247092275,-0.07851518227204612,-0.078544833725945,-0.0785404820758833
7,-0.09226687577619674,-0.0922607909695472,-0.0922466590376183,-0.09226611172388655,-0.09225240404785362,-0.09228287168724769,-0.09226687577619674,-0.0921793318700368,-0.09205771970993903,-0.0922649902568593,-0.0922344630855382
8,0.17556357674671141,0.17554185017595714,0.1754914493790678,0.1755608477583892,0.17551192872352428,0.17562076562074624,0.17556357674671141,0.17525244745088475,0.17482526352047145,0.17555684262012106,0.1754488548742585
9,-0.07805431274844032,-0.07804942904273915,-0.07803799059122607,-0.07805370089233787,-0.07804265674105748,-0.07806703073373367,-0.07805431274844032,-0.07798171235909934,-0.07787314459138084,-0.07805280209957588,-0.0780267092548031
10,-0.09209835204260353,-0.09208671835051518,-0.09205955347999817,-0.09209689332349968,-0.09207062113704523,-0.09212875192241587,-0.09209835204260353,-0.09192744730202795,-0.09167855593417618,-0.09209475114280086,-0.09203399966776862
11,-0.09704212887681618,-0.0970203737378249,-0.09696981411299932,-0.09703939762720448,-0.09699037353327322,-0.09709927689448572,-0.09704212887681618,-0.09672834008078557,-0.09629005891505482,-0.09703538847903181,-0.09692572811342923
12,0.23217433319404845,0.23210020291844713,0.23192833353949416,0.2321650205683048,0.23199815331759677,0.2323695861188353,0.23217433319404845,0.23111492133026346,0.22966574821123897,0.2321513538443114,0.2317841986236589
13,-0.08946963443022249,-0.08945056595297307,-0.08940592943516457,-0.08946724514004922,-0.0894241335109337,-0.08951931226643228,-0.08946963443022249,-0.08918714006026474,-0.08877104924778223,-0.08946373551075937,-0.08936283799848041
14,-0.09726406853944991,-0.09723607281351465,-0.09717059416174034,-0.09726055988863613,-0.09719728889880086,-0.0973370698226893,-0.09726406853944991,-0.09685077159505462,-0.09624759390770377,-0.0972554064306238,-0.09710834945976633
15,-0.09892829059131913,-0.09888851222751893,-0.09879596720877981,-0.09892329812452383,-0.0988336152218503,-0.09903264419057112,-0.09892829059131913,-0.09835262993848093,-0.09754650845834956,-0.09891596898273736,-0.09871457255354502
16,-0.09783725286570455,-0.097782504401145,-0.09765590876260055,-0.09783037022259677,-0.09770728015169627,-0.09798188249770612,-0.09783725286570455,-0.0970629275110142,-0.09602977952151526,-0.09782027214779065,-0.0975545430947474
17,-0.0954879611557029,-0.09541693338876278,-0.09525356637352378,-0.09547901921170654,-0.09531971480980628,-0.09567673396866472,-0.0954879611557029,-0.09450316897095079,-0.09324400024191104,-0.09546590644689501,-0.09513349657236267
18,-0.0925827106816528,-0.0924956878306038,-0.09229641037509173,-0.09257174209641339,-0.09237695345480679,-0.09281515658026285,-0.0925827106816528,-0.09139569228618472,-0.08993035359085244,-0.09255566417449101,-0.09216030817520124
19,-0.08946781764220912,-0.0893660488895609,-0.0891338575597237,-0.08945497777244227,-0.08922756222857653,-0.08974079495507414,-0.08946781764220912,-0.08809824279598699,-0.08645555818935502,-0.08943616352115291,-0.08898488411962907
20,-0.08632038229030825,-0.08620558188899141,-0.08594447219323065,-0.08630588608224399,-0.08604971266854722,-0.08662942042796473,-0.08632038229030825,-0.08479279706351539,-0.08300378602481151,-0.08628465117001005,-0.08578570720999315
21,-0.08323254693561943,-0.08310657186679626,-0.0828208141824055,-0.08321662810072106,-0.08293586216202664,-0.0835727239026347,-0.08323254693561943,-0.08157234080742892,-0.07966652257672635,-0.08319331529642837,-0.08265498727664067
22,-0.08025175434047016,-0.08011641860990115,-0.07981014750530702,-0.08023464173995787,-0.07993333567773653,-0.08061821096498867,-0.08025175434047016,-0.07848297321633557,-0.07648669654125739,-0.08020958640540388,-0.07963955193418285
23,-0.07740103564313727,-0.07725801450686542,-0.07693502198370328,-0.07738294103290266,-0.07706482548952842,-0.07778924766152107,-0.07740103564313727,-0.07554535811033347,-0.07348127989548814,-0.07735645325466667,-0.07676152132212836
24,-0.07468973287857494,-0.07454052182244608,-0.07420417319889794,-0.0746708455933478,-0.07433924200087305,-0.07509563357949167,-0.07468973287857494,-0.07276612225095092,-0.07065327555928769,-0.07464320246681044,-0.07402924822292554
25,-0.07211940400197314,-0.07196530915019317,-0.07161852829860138,-0.07209988963822578,-0.07175769196621407,-0.0725394196848902,-0.07211940400197314,-0.07014412652823732,-0.0679982559408222,-0.0720713333936499,-0.07144333626047802
26,-0.06968718794801043,-0.06952933335921596,-0.06917462444234312,-0.06966718920700121,-0.06931688254980284,-0.07011822548682434,-0.06968718794801043,-0.06767401207410717,-0.06550800282406344,-0.06963792848553718,-0.06900005743249162
27,0.7661979187194177,0.7633133789760422,0.7568318088512556,0.7658324719786402,0.7594312464960464,0.7740745514734209,0.7661979187194177,0.7294180310119409,0.6899059529863005,0.7652977774093572,0.7536501056621839
28,-0.11964155465146298,-0.1191767760325031,-0.11813242358507758,-0.11958267254009991,-0.11855124853736854,-0.1209104343762809,-0.11964155465146298,-0.11372098374774009,-0.10740336402238748,-0.1194965196915857,-0.11762575318359692
29,-0.10728127411804933,-0.10693087442244298,-0.10614014312745534,-0.10723693491261399,-0.10645781098798413,-0.10823297206654292,-0.10728127411804933,-0.10275201352632357,-0.09777992136649827,-0.10717203286445343,-0.10572652515104133
30,-0.0981079739616697,-0.09782074858536915,-0.09717082915994191,-0.0980716559702326,-0.09743221194899587,-0.09888552431589348,-0.0981079739616697,-0.09436166041580485,-0.09017985467763456,-0.09801848075374764,-0.09681569137509595
31,-0.09099317465475154,-0.09074139786112256,-0.09017108606425028,-0.09096134840986758,-0.09040054958944621,-0.09167385880818424,-0.09099317465475154,-0.08769788887586738,-0.08399715148608933,-0.0909147448082559,-0.08985443752125866
