timestep,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,average
1,-0.010338912560177382,-0.010338912560177382,-0.01221495023490482,-0.00988215556898897,-0.011475375527093323,-0.010338912560177382,-0.010305077305291288,-0.010305077305291288,-0.01009297412104293,-0.009537236352624712,-0.010482958409576948
2,-0.007760683738173846,-0.007760683738173846,-0.01028835103227077,-0.007143037194205504,-0.009293651471177111,-0.007760683738173846,-0.007714960374242907,-0.007714960374242907,-0.007428224352439283,-0.006676039718706006,-0.007954127573180602
3,-0.015164631794242878,-0.015164631794242878,-0.021884154123909316,-0.013516410340828622,-0.019244761905146457,-0.015164631794242878,-0.01504270157428056,-0.01504270157428056,-0.014277754954689303,-0.012268555397407566,-0.0156770935253271
4,-0.013780862877143862,-0.013780862877143862,-0.02113488503461869,-0.011960208782553439,-0.018259295218293836,-0.013780862877143862,-0.01364640505204806,-0.01364640505204806,-0.012802032764215099,-0.010577356831198426,-0.01433691773664072
5,-0.02164961857253156,-0.02164961857253156,-0.03479650073951568,-0.018363084823957654,-0.029679946765934218,-0.02164961857253156,-0.02140734010663492,-0.02140734010663492,-0.019884283400233516,-0.015858265578013397,-0.0226345617238519
6,-0.026424384097507247,-0.026424384097507247,-0.04360420450820446,-0.022028644280804643,-0.036993654385562236,-0.026424384097507247,-0.02610174417043165,-0.02610174417043165,-0.02406838459726557,-0.018650529838116436,-0.02768220582433384
7,-0.02897550007499128,-0.02897550007499128,-0.04849609442656866,-0.02383131879815159,-0.04109261554507926,-0.02897550007499128,-0.028600050527980758,-0.028600050527980758,-0.026226148679783012,-0.019835106682968617,-0.03036078854134865
8,-0.004598949929921048,-0.004598949929921048,-0.007352616531994038,-0.0037879541412421114,-0.006369755392483856,-0.004598949929921048,-0.00454093728229199,-0.00454093728229199,-0.004169828142494669,-0.0031341188784423935,-0.00476929974410042
9,-0.03054888981191861,-0.03054888981191861,-0.05437425079453784,-0.024288862207925255,-0.04532295594096425,-0.03054888981191861,-0.030091783037354713,-0.030091783037354713,-0.02720238590724222,-0.0194298659809391,-0.03224485563420739
10,-0.0330115871147767,-0.0330115871147767,-0.05819945444461627,-0.026106450698965333,-0.048828129835535417,-0.0330115871147767,-0.03251156508890041,-0.03251156508890041,-0.029335689121867015,-0.02065999315841327,-0.03471876087815282
11,-0.033755350068205625,-0.033755350068205625,-0.05884901943747578,-0.026588429123821422,-0.049697922272124995,-0.033755350068205625,-0.03324070513477406,-0.03324070513477406,-0.029956237862141633,-0.020842702900550347,-0.035368177207027916
12,0.0020439184466245486,0.0020439184466245486,0.0048108254737115885,0.0014542998030100396,0.003667478159801618,0.0020439184466245486,0.0019987970002852684,0.0019987970002852684,0.0017210521345081276,0.0010401683839720288,0.0022823173295447585
13,-0.035253106443206006,-0.035253106443206006,-0.06488159561955376,-0.02700198865772907,-0.053934199394822246,-0.035253106443206006,-0.03465771044459831,-0.03465771044459831,-0.030868541842884345,-0.020447844843241914,-0.0372208910577046
14,-0.0367365088432795,-0.0367365088432795,-0.06582825599100595,-0.02819070867777096,-0.05535749469231033,-0.0367365088432795,-0.03612664340560179,-0.03612664340560179,-0.032220779724912774,-0.021254449450606283,-0.03853145018776484
15,-0.03664718904999009,-0.03664718904999009,-0.06418658470991379,-0.028172572061911594,-0.05449540350283222,-0.03664718904999009,-0.03604853270139974,-0.03604853270139974,-0.0321922897616288,-0.02115428602925762,-0.03822397686183138
16,-0.03569304102472459,-0.03569304102472459,-0.06137547791189124,-0.027476575477459297,-0.052502483051517945,-0.03569304102472459,-0.035117826889037085,-0.035117826889037085,-0.03139380269094083,-0.02054773683138167,-0.03706108528154389
17,-0.03430284358317415,-0.03430284358317415,-0.058148206728769414,-0.0264279220062964,-0.05002864797856321,-0.03430284358317415,-0.03375581446853959,-0.03375581446853959,-0.030198893017975292,-0.019680314670797006,-0.035490414408900293
18,-0.032727773084633704,-0.032727773084633704,-0.05488306963288592,-0.025221121957538783,-0.047423099256289625,-0.032727773084633704,-0.03220977409263104,-0.03220977409263104,-0.028829264886150785,-0.01869908382474217,-0.033765850699677045
19,-0.03111036673424017,-0.03111036673424017,-0.05175812338263064,-0.023969283644329376,-0.04486482863810837,-0.03111036673424017,-0.03062035491379622,-0.03062035491379622,-0.02741265384516478,-0.01768973379131067,-0.03202664333318568
20,-0.02952840706271309,-0.02952840706271309,-0.04884767994612349,-0.022735942192199987,-0.042439252111650005,-0.02952840706271309,-0.029064524613713116,-0.029064524613713116,-0.026020048140794283,-0.016700411704043794,-0.030345760451037707
