Trial,Cue,Category,Prob_cat,CueOnset,CueOffset,Prediction,ReactionTime,PredOnset,PredOffset,WordOnset,WordOffset,condition,Correct
1,Cue 1,TOOL,Congruent,45.411929899826646,46.92814369988628,,,48.4317380997818,49.94496259978041,51.44657549983822,52.945347499800846,congruent,1
2,Cue 2,TOOL,Congruent,54.44663059990853,55.99540329980664,0.0,58.02866329997778,57.50780669995584,59.011835699900985,60.51450389996171,62.01307349978015,incongruent,0
3,Cue 1,TOOL,Congruent,63.51439479994588,65.06314159999602,1.0,67.11254639993422,66.57549329986796,68.07914889999665,69.58116699988022,71.0799186998047,congruent,1
4,Cue 2,TOOL,Congruent,72.5811786998529,74.1299702997785,0.0,76.16689439979382,75.64241649978794,77.14582189987414,78.64797339984216,80.14667279995047,incongruent,0
5,Cue 2,ANIMAL,Congruent,81.64783389982767,83.18013819982298,0.0,85.26299689989537,84.69254499999806,86.19615109986626,87.69821249996312,89.19692209991626,congruent,1
6,Cue 1,TOOL,Congruent,90.69844089983962,92.2470416999422,1.0,94.19666479993612,93.75940639991312,95.26295919995756,96.76498609990811,98.26375429984182,congruent,1
7,Cue 1,TOOL,Congruent,99.76373969996348,101.29714669985697,1.0,103.250709899934,102.80942039983348,104.31318679987452,105.81516009988265,107.31394459982404,congruent,1
8,Cue 1,TOOL,Congruent,108.81520670000464,110.36397690000013,1.0,112.45119980000892,111.87630449980496,113.3797920998186,114.88203329988757,116.37998699978924,congruent,1
9,Cue 2,TOOL,Congruent,117.88216659985484,119.43081539985724,0.0,121.24701639986596,120.94315919978544,122.44683969998732,123.94895879994148,125.44759519980288,incongruent,0
10,Cue 2,ANIMAL,Congruent,126.94886050000788,128.4977474999614,0.0,130.39714509993792,130.0099890998099,131.51368529978208,133.01567069999874,134.514445199864,congruent,1
11,Cue 1,TOOL,Congruent,136.0157076998148,137.56446869997308,1.0,139.76400439999998,139.07673369999975,140.5805036998354,142.08249469986183,143.58127869991586,congruent,1
12,Cue 1,TOOL,Congruent,145.0825408999808,146.63133079977706,1.0,148.7974855999928,148.14351889980026,149.647339399904,151.14933859999292,152.6481111999601,congruent,1
13,Cue 2,TOOL,Congruent,154.14940749993548,155.69816369982436,0.0,157.53100889991038,157.21056479983963,158.71418299991635,160.2161235997919,161.71495519997552,incongruent,0
14,Cue 2,ANIMAL,Congruent,163.21624489990063,164.76500589982606,0.0,166.68099729996177,166.27741029998288,167.78085689991713,169.28300069994293,170.78179519996047,congruent,1
15,Cue 2,ANIMAL,Congruent,172.28305379999802,173.8318417998962,0.0,175.6646854998544,175.34414800000377,176.8481371998787,178.34986079996452,179.84861749992706,congruent,1
16,Cue 1,TOOL,Congruent,181.34988259989768,182.9153544998262,1.0,184.9148552999832,184.4277394998353,185.94798479997556,187.45002689980905,188.94880199991167,congruent,1
17,Cue 2,ANIMAL,Congruent,190.45021939999424,191.99884519982152,0.0,193.9150107000023,193.51121189980768,195.0148331997916,196.5168538999278,198.0155896998476,congruent,1
18,Cue 2,ANIMAL,Congruent,199.51689979992807,201.0656862999313,0.0,203.0358844997827,202.5787704999093,204.0819499997888,205.58369109989144,207.0824674998876,congruent,1
19,Cue 1,TOOL,Congruent,208.58373019983992,210.13254629983567,1.0,212.1152265998535,211.6449011999648,213.14961999980733,214.65051849978045,216.14930920000188,congruent,1
20,Cue 1,TOOL,Congruent,217.65059709991328,219.19934839988127,1.0,221.19889259990305,220.71163839986548,222.21534499991685,223.7173569998704,225.2161441999488,congruent,1
21,Cue 1,TOOL,Congruent,226.7174042998813,228.26619719993323,1.0,230.06570309982635,229.7785627997946,231.2822164997924,232.7842050998006,234.2824436998926,congruent,1
22,Cue 2,ANIMAL,Congruent,235.7842498999089,237.3331188999582,0.0,239.26589059992693,238.8454107998405,240.34905509999956,241.8510280000046,243.3498245999217,congruent,1
23,Cue 2,ANIMAL,Congruent,244.85107979993336,246.38320769998245,0.0,248.4698678997811,247.8955306999851,249.39900719979775,250.9012127998285,252.3999958999921,congruent,1
24,Cue 1,TOOL,Congruent,253.9012748999521,255.45016649994068,1.0,257.46620839997195,256.9625308997929,258.4661126998253,259.9680507997982,261.4660726999864,congruent,1
25,Cue 1,TOOL,Congruent,262.9682891999837,264.5168769999873,1.0,266.4678546998184,266.02915929979645,267.5327570999507,269.0348635998089,270.5336718999315,congruent,1
26,Cue 1,TOOL,Congruent,272.034925499931,273.5837361998856,1.0,275.6165614000056,275.0859022999648,276.59971609991044,278.10171289998107,279.60051859985106,congruent,1
27,Cue 2,ANIMAL,Congruent,281.1017735998612,282.6505601999816,0.0,284.5705444999039,284.16380389989354,285.66655259998515,287.16864799987525,288.66733989981003,congruent,1
28,Cue 1,ANIMAL,Congruent,290.16866299998946,291.7175150997937,1.0,293.70429869997315,293.229694099864,294.7333880998194,296.23541309987195,297.73417999991216,incongruent,0
29,Cue 1,TOOL,Congruent,299.2341757998802,300.76755729992874,1.0,302.75041330000386,302.2799257999286,303.7837060999591,305.2855657998007,306.784390399931,congruent,1
30,Cue 1,TOOL,Congruent,308.2856169999577,309.83438859996386,1.0,311.82120759994723,311.3467541998252,312.8504401999526,314.35241139982827,315.85120349982753,congruent,1
31,Cue 1,TOOL,Congruent,317.35246169986203,318.90124579984695,1.0,320.93432839983143,320.41367299994454,321.9171813998837,323.4192494999152,324.91804949985817,congruent,1
32,Cue 2,ANIMAL,Congruent,326.4193120999262,327.9514167997986,0.0,330.0007184999995,329.46375229978,330.96718529984355,332.46944219991565,333.9683402997907,congruent,1
33,Cue 1,TOOL,Congruent,335.4695040998049,337.01825109985657,1.0,338.98451549978927,338.53053809981793,340.03429219988175,341.53624839987606,343.0350424998905,congruent,1
34,Cue 2,ANIMAL,Congruent,344.5363026999403,346.0851773999166,0.0,348.0719798998907,347.5974836999085,349.10112479981035,350.60308519983664,352.1018693000078,congruent,1
35,Cue 1,TOOL,Congruent,353.6031447998248,355.16867899987847,1.0,357.1680975998752,356.68090179981664,358.1846211999655,359.6865977998823,361.1853772997856,congruent,1
36,Cue 2,ANIMAL,Congruent,362.68664289987646,364.2354199998081,0.0,366.3016745999921,365.7477863999084,367.2514378998894,368.7534767999314,370.2522103998344,congruent,1
37,Cue 1,TOOL,Congruent,371.7534810998477,373.3022410999984,1.0,375.2394127999432,374.8145681999158,376.318065200001,377.820261699846,379.3190481998026,congruent,1
38,Cue 1,TOOL,Congruent,380.8203272998799,382.3691004998982,1.0,384.4728074998129,383.8814729999285,385.3851164998487,386.8870984998066,388.3858862000052,congruent,1
39,Cue 2,ANIMAL,Congruent,389.8872930000071,391.4359421997797,0.0,393.3690254997928,392.94828279991634,394.4519835999236,395.9539179999847,397.4527029998135,congruent,1
40,Cue 2,ANIMAL,Congruent,398.9540033999365,400.50288389995694,0.0,402.4897576998919,402.0151740999426,403.5188887999393,405.02079799980856,406.51956049981527,congruent,1
41,Cue 2,ANIMAL,Congruent,408.0227723999415,409.5529476997908,0.0,411.4859253999312,411.0651826998219,412.5687398998998,414.0709438999184,415.56974549987353,congruent,1
42,Cue 2,ANIMAL,Congruent,417.070969699882,418.6198883999605,0.0,420.8902530998457,420.1320975997951,421.63579979981296,423.13777959998697,424.6365745998919,congruent,1
43,Cue 1,TOOL,Congruent,426.1378264999949,427.6866067999508,1.0,429.8528001999948,429.1989595999476,430.7026402999181,432.2046123999171,433.7034145998769,congruent,1
44,Cue 2,TOOL,Congruent,435.204694399843,436.7534386999905,0.0,438.80690079997294,438.2656639998313,439.7694560999517,441.2714211998973,442.7703455998562,incongruent,0
45,Cue 1,TOOL,Congruent,444.2714960998856,445.8202974998858,1.0,447.8864882998169,447.3328255999368,448.8362970999442,450.3383317999542,451.8370941998437,congruent,1
46,Cue 2,ANIMAL,Congruent,453.33837529993616,454.8871293999255,0.0,456.85311359982006,456.3993963999674,457.9030200999696,459.4051294999663,460.9039155999199,congruent,1
47,Cue 1,TOOL,Congruent,462.4051878999453,463.9539506998845,1.0,466.1367992998567,465.46633019996807,466.9700035999995,468.4719368999358,469.9707423998043,congruent,1
48,Cue 1,TOOL,Congruent,471.4720091999043,473.0207866998389,1.0,475.1038043999579,474.5330695998855,476.0368139999919,477.5387905999087,479.0375846999232,congruent,1
49,Cue 1,TOOL,Congruent,480.5388485000003,482.08762809983455,1.0,484.6242513998877,483.6000276999548,485.1034115999937,486.6056266999804,488.1044123999309,congruent,1
50,Cue 2,ANIMAL,Congruent,489.605846399907,491.1545479998458,0.0,493.1205731998198,492.6667021999601,494.17049189982936,495.67245159996673,497.1712665997911,congruent,1
51,Cue 1,ANIMAL,Incongruent,498.6725139999762,500.2213349000085,1.0,502.3206900998484,501.7336578997784,503.23731599980965,504.7393118999898,506.2372385999188,incongruent,0
52,Cue 1,ANIMAL,Incongruent,507.7393196998164,509.28812749986537,1.0,511.320984599879,510.80045349989086,512.3041796998587,513.8061174999457,515.3049277998507,incongruent,0
53,Cue 2,TOOL,Incongruent,516.806222199928,518.3549460999202,0.0,520.4544996998738,519.8672285999637,521.3710143999197,522.8729711999185,524.3717548998538,incongruent,0
54,Cue 1,ANIMAL,Incongruent,525.8729813999962,527.4218028998002,1.0,529.4085351999383,528.9340957999229,530.4375895999838,531.9398145999294,533.4385806999635,incongruent,0
55,Cue 2,TOOL,Incongruent,534.9399107999634,536.488635599846,0.0,538.6715190999676,538.0009666997939,539.5046352997888,541.0066295999568,542.5054261998739,incongruent,0
56,Cue 1,ANIMAL,Incongruent,544.0066962998826,545.5554603999481,0.0,547.5425200997852,547.0678104998078,548.571476199897,550.0734771999996,551.5722556998953,incongruent,1
57,Cue 1,ANIMAL,Incongruent,553.0735172999557,554.6222926999908,0.0,556.7718346999027,556.134565099841,557.6383515999187,559.1402933998033,560.6390902998392,incongruent,1
58,Cue 2,ANIMAL,Incongruent,562.140356299933,563.6891811999958,1.0,565.538692599861,565.202226099791,566.7051156999078,568.2071430999786,569.7059305999428,congruent,1
59,Cue 2,TOOL,Incongruent,571.2071918000001,572.7559749998618,1.0,574.7719956999645,574.2682862998918,575.7720162000041,577.2739805998281,578.7727784998715,incongruent,1
60,Cue 2,TOOL,Incongruent,580.2740159998648,581.8229080999736,1.0,583.8430940997787,583.3352850999217,584.8388440997805,586.3408066998236,587.8396042999811,incongruent,1
