Trial,Cue,Category,Prob_cat,CueOnset,CueOffset,Prediction,ReactionTime,PredOnset,PredOffset,WordOnset,WordOffset,condition,Correct
1,Cue 2,ANIMAL,Congruent,59.135466099949554,60.65132740000263,0,62.518386899959296,62.1544794999063,63.6685923000332,65.1700774000492,66.66883270000108,congruent,1
2,Cue 2,ANIMAL,Congruent,68.17017439985648,69.71888569998555,0,71.60623759985901,71.23108299984597,72.73539479984902,74.23689939989708,75.7356346999295,congruent,1
3,Cue 1,TOOL,Congruent,77.23688109987415,78.78569839987904,1,80.60241329995915,80.29789990000427,81.80266369995661,83.30367089994252,84.80240429984406,congruent,1
4,Cue 1,TOOL,Congruent,86.30372319999151,87.85249119997025,1,89.66921149985865,89.36494779982604,90.8690396999009,92.37049530004153,93.86927809985356,congruent,1
5,Cue 2,ANIMAL,Congruent,95.37053269986065,96.9193166999612,1,98.7203559000045,98.4314695999492,99.9356430999469,101.43730049999432,102.93607899989,congruent,1
6,Cue 1,TOOL,Congruent,104.43734869989568,105.98614339996128,1,107.8360090998467,107.50016009993853,109.01935399998912,110.52075839997268,112.01957919984125,congruent,1
7,Cue 2,ANIMAL,Congruent,113.52083379984832,115.06963659985922,0,116.88636979996228,116.58184070000424,118.08625889988616,119.58759869984353,121.08636479987764,congruent,1
8,Cue 2,ANIMAL,Congruent,122.58761699986644,124.13643649988808,0,126.06982710002922,125.64866489986888,127.15298040001652,128.65438809990883,130.15323629998602,congruent,1
9,Cue 2,ANIMAL,Congruent,131.65517170005478,133.20380369992927,0,135.490754700033,134.71602030005306,136.21968219988048,137.72172969998792,139.22050890000537,congruent,1
10,Cue 1,TOOL,Congruent,140.72175419982523,142.27055260003544,1,144.09078800003044,143.78290760004893,145.303247399861,146.80520119983703,148.30399989988655,congruent,1
11,Cue 1,TOOL,Congruent,149.80525909992866,151.35404619993642,1,153.224243799923,152.86633059987798,154.37005819985643,155.87201389996335,157.37080739997327,congruent,1
12,Cue 2,ANIMAL,Congruent,158.87206179997884,160.4375801999122,0,162.2535545998253,161.94997459999286,163.4533207998611,164.95552139985375,166.45428989990614,congruent,1
13,Cue 2,ANIMAL,Congruent,167.95555870002136,169.50433230004273,0,171.32054889993742,171.01652179984376,172.52051980001852,174.02230049995703,175.52109789988026,congruent,1
14,Cue 2,ANIMAL,Congruent,177.02234819997102,178.5711483999621,0,180.4540740000084,180.0833457999397,181.5869223999325,183.08911209995856,184.58793669985607,congruent,1
15,Cue 2,ANIMAL,Congruent,186.0891447998584,187.63796589989207,0,189.4875282999128,189.15017229993828,190.6540591998492,192.15595959988423,193.6547317998484,congruent,1
16,Cue 1,TOOL,Congruent,195.15596059989184,196.7047606999986,1,198.5376249998808,198.2168827999849,199.7208215999417,201.22275749989785,202.72153660003096,congruent,1
17,Cue 2,ANIMAL,Congruent,204.22283830004744,205.77157189999707,0,207.63786119990985,207.2840167998802,208.7887206999585,210.28957829996943,211.7883881998714,congruent,1
18,Cue 1,TOOL,Congruent,213.28965429984964,214.8384004998952,1,216.6212968998589,216.3506286998745,217.854432299966,219.35641249991025,220.85516639985144,congruent,1
19,Cue 2,ANIMAL,Congruent,222.35641129990108,223.9052238999866,0,225.8754106999841,225.4174193998333,226.92129209986888,228.4231791999191,229.9220102999825,congruent,1
20,Cue 1,TOOL,Congruent,231.4232763999608,232.9720435999334,1,234.889170399867,234.48430479993112,235.98814439983107,237.4899921000469,238.9887951000128,congruent,1
21,Cue 2,ANIMAL,Congruent,240.49006889993325,242.03883149987087,0,243.87176049989648,243.55103549989872,245.054774499964,246.55681149987504,248.0557488000486,congruent,1
22,Cue 2,ANIMAL,Congruent,249.5568599998951,251.10572139988653,0,253.07202119985595,252.6178603000008,254.12154709990136,255.6236236998812,257.12242859997787,congruent,1
23,Cue 1,TOOL,Congruent,258.6237001998816,260.18836869997904,1,261.9886566000059,261.7014639999252,263.20523809990846,264.7069274999667,266.20585899986327,congruent,1
24,Cue 1,TOOL,Congruent,267.7071797000244,269.25594219984487,1,271.1722107999958,270.7681175000034,272.2719507999718,273.77404689998366,275.2727351000067,congruent,1
25,Cue 1,ANIMAL,Congruent,276.77399259991944,278.3227829998359,1,280.1386617999524,279.83516759984195,281.3388106999919,282.8407374999952,284.3395559999626,incongruent,0
26,Cue 1,TOOL,Congruent,285.84080330003053,287.38958789990284,0,289.1891459999606,288.9017892999109,290.4056241000071,291.9075551000424,293.4063434000127,congruent,1
27,Cue 2,ANIMAL,Congruent,294.90759600000456,296.4564020000398,0,298.2932072998956,297.9690485999454,299.47248969995417,300.9744013999589,302.47317929985,congruent,1
28,Cue 2,ANIMAL,Congruent,303.9744150999468,305.5233398999553,0,307.5561212999746,307.03563609998673,308.5392028999049,310.0412095000502,311.53997979988344,congruent,1
29,Cue 2,ANIMAL,Congruent,313.0412347000092,314.5900941998698,0,316.80628259992227,316.1021958999336,317.60612989985384,319.10799349984154,320.6068002998363,congruent,1
30,Cue 1,TOOL,Congruent,322.1080267999787,323.6568511999212,1,325.4900197999086,325.169064699905,326.6737599999178,328.1748086998705,329.6736136998516,congruent,1
31,Cue 2,ANIMAL,Congruent,331.17487420002,332.7236555998679,0,334.5401174998842,334.23025309992954,335.73967509996146,337.2416666999925,338.74043500004336,congruent,1
32,Cue 2,ANIMAL,Congruent,340.24193329992704,341.79053250001743,0,343.8400594999548,343.3027558999602,344.8065545000136,346.3084467998706,347.8072595000267,congruent,1
33,Cue 2,ANIMAL,Congruent,349.3085043998435,350.85729209985584,0,352.69650870002806,352.3695165999234,353.87334499997087,355.37528959987685,356.87406219984405,congruent,1
34,Cue 1,ANIMAL,Congruent,358.3753122999333,359.9242075998336,1,361.8609807998873,361.4363457998261,362.940115599893,364.44212000002153,365.940881999908,incongruent,0
